Time stamp;DataBeacon.BLE датчик backoffice (E) ед.
2023.4.4 17:6:15;4660:2222:55.764061:37.555565:-70:-102
2023.4.4 17:27:2;4660:2222:55.764061:37.555565:-70:-99
2023.4.4 18:53:21;4660:2222:55.764061:37.555565:-70:-101

